"CourseTitle","Category","Sub Category","CourseWebsite","Duration","DurationTerm","StudyMode","DegreeLevel","IntakeDay","IntakeMonth","ApplyDay","ApplyMonth","City","DomesticOnly","InternationalFee","DomesticFee","FeeTerm","FeeYear","Currency","StudyLoad","Language","IELTS_Listening","IELTS_Speaking","IELTS_Writing","IELTS_Reading","IELTS_Overall","PTE_Listening","PTE_Speaking","PTE_Writing","PTE_Reading","PTE_Overall","TOEFL_Listening","TOEFL_Speaking","TOEFL_Writing","TOEFL_Reading","TOEFL_Overall","English Test","English Test Reading","English Test Listening","English Test Speaking","English Test Writing","English Test Overall","AcademicLevel","AcademicScore","ScoreType","AcademicCountry","OtherTest","Score","OtherRequirement","CourseDescription","CourseStructure","Career"
"LLB (Hons),With Qualifying Status",,,"https://arden.ac.uk/our-courses/undergraduate/law-degrees/llb-hons","3-9 ","Year","Both","Undergraduate",,,,,"Manchester,Birmingham,London,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Our LLB with qualifying status degree has standard entry requirements. To be able to study this course, we need to see that you have:</p>,<ul>
	<li>Two subjects at GCE A-Level or equivalent, plus passes at grade C or above in three subjects at GCSE level or equivalent; OR</li>
	<li>Completed a recognised Access Programme or equivalent</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Start your career as a legal professional by taking on an LLB with qualifying status. Interested in politics or business? Have your mind set on a future in journalism? With the transferable skills an LLB qualification gives you, no goal is too ambitious. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Immersing you into the world of legal systems, this course focuses on the fundamentals of English Law and the different components of the legal system. Throughout each module, you’ll develop a thorough knowledge of everything there is to know about law – building the skills needed to pursue your dream career. Start your journey with Arden University today. </p>
                            </div>
                                                                                                        </div>","<p><strong>Level 4</strong></p>,<ul>
	<li>Foundations in Legal Skills</li>
	<li>English Legal System</li>
	<li>Criminal Law</li>
	<li>Law of Contract</li>
	<li>Law and Ethics</li>
	<li>Constitutional and Administrative Law</li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Law of Tort 1 - Tort of Negligence</li>
	<li>Law of Tort 2 - Land and Other Torts</li>
	<li>Civil Liberties and Human Rights</li>
	<li>Law of Property</li>
	<li>European Union Law</li>
	<li>Pro Bono and Professional Practice</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Law of Evidence</li>
	<li>Equity, Trusts, and Wills</li>
	<li>International Commercial Law</li>
	<li>Legal Research Methods and Project</li>
</ul>,<p><strong>Optional Modules</strong></p>,<ul>
	<li>Family Law</li>
	<li>Employment Law</li>
	<li>Company Law</li>
	<li>Intellectual Property</li>
</ul>","<p>After graduating with an LLB (Hons) law degree, your options are endless – and it all depends on your personal preference! Maybe you want to continue your vocational training to become a solicitor or barrister? But if you’re looking to get stuck in with a career straight after graduating, a world of opportunity will be open to you. Some professions you might want to consider include: </p>,<ul>
	<li>Business and commerce</li>
	<li>Court services</li>
	<li>Banking and finance</li>
	<li>Local and central government</li>
	<li>Police and prison services</li>
	<li>Social work</li>
	<li>Teaching</li>
</ul>,<p>Considering further study? You’ll also be able to continue your training to become: </p>,<ul>
	<li>A solicitor</li>
	<li>Barrister</li>
</ul>"
"Innovation Enterprise & Circular Economy MBA,(University of Bradford)",,,"https://arden.ac.uk/our-courses/postgraduate/mba/innovation-enterprise-circular-economy-mba-bradford","2 to 3 ","Year","Online","Postgraduate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Are you looking to develop your skills in UK economics? Or do you want to accelerate your career further by discovering new, advanced approaches to solving economic issues? This online MBA Innovation, Enterprise and Circular Economy course could be just what you need to succeed. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>The University of Bradford, School of Management have co-created a unique MBA in partnership with the Ellen MacArthur Foundation which you can apply for via Arden University - the <strong>Innovation, Enterprise and Circular Economy Distance Learning MBA.</strong></p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Today’s economic conditions are constantly shifting and require a change in perspective from our future generations. There is a belief that an innovative approach, which integrates systems thinking and looks beyond the linear ‘take, make, dispose’ model, is the answer that a forward-thinking School of Management should strive to provide.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>As a result, the Innovation, Enterprise and Circular Economy Distance Learning MBA is designed to give a focussed qualification in the topic of Circular Economy within the context of our established MBA general management programme. This MBA seeks to prepare the next generation of leaders with first-hand knowledge, in conjunction with learning and putting into practice contemporary business leadership and management skills.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Find out more about this fascinating MBA qualification with Triple Crown Accreditation from the European Quality Improvement System (EQUIS), Association of MBAs (AMBA) and the Association to Advance Collegiate Schools of Business (AACSB) below.</p>
                            </div>
                                                                                                        </div>",,
"Human Resource Management,MA",,,"https://arden.ac.uk/our-courses/postgraduate/masters/ma-human-resource-management","1 to 5 ","Year","Online","Postgraduate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p><strong>Enhance your CV and develop your HR skills with this CIPD-approved MA Human Resource Management. On this course, you’ll learn the skills you need to progress to a management or leadership role, helping you to accelerate to the next stage of your career.</strong></p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Our Master’s in Human Resource Management covers a broad range of HR topics, including team development, resource planning and employee relations. This makes it an ideal choice if you want to expand your knowledge in this vital aspect of business management. As with all our degrees, the MA Human Resource Management is strongly focused on the skills you need to build your career. It has been developed by industry experts, with an emphasis on applied learning, so you’re already putting your learning into practice long before you’ve finished the course. <br>
 </p>
                            </div>
                                                                                                        </div>","<ul>
	<li>Managing the Human Resource</li>
	<li>HRM in Context</li>
	<li>Reward Management</li>
	<li>Learning and Development</li>
	<li>Resourcing and Talent Planning</li>
	<li>Employee Relations</li>
	<li>Research Project</li>
</ul>","<p>As mentioned above, a postgraduate qualification in HR management opens up a wealth of different roles and opportunities. Every business needs HR!</p>,<p>Career prospects include:</p>,<ul>
	<li>Human Resource Manager</li>
	<li>General Manager</li>
	<li>Pay and Reward Specialist</li>
	<li>Personnel Management</li>
	<li>Organisation Development<br>
	 </li>
</ul>"
"Chartered Manager Degree Apprenticeship -  Business Management (CMI),BA (Hons)",,,"https://arden.ac.uk/degreeapprenticeships/ba-chartered-manager-apprenticeship-cmi",3,"Year","Both","Undergraduate",,,,,"Manchester,Birmingham,London,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Our Chartered Manager Degree Apprenticeship has standard entry requirements. To be able to study this course, we need to see that you have:</p>,<ul>
	<li>Be currently employed by a work place that is able to take advantage of the Apprenticeship Levy</li>
	<li>Two subjects at GCE A-Level or equivalent, plus passes at grade C or above in three subjects at GCSE level or equivalent; OR</li>
	<li>Completed a recognised Access Programme or equivalent</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Do you dream of becoming a professional manager - taking the lead on operations, projects and teams of people? Or perhaps you’re looking to take the next step into management within your current career? Whatever your goals, our Chartered Manager Degree Apprenticeship provides a real-world relevant education that is shaped by employers and built around learner’s lives.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Arden’s business management degree apprenticeship is designed to equip you with the knowledge and understanding of key and cross-functional business and management disciplines while you continue to work in your current role. You’ll study for your degree alongside work-based learning, where you can apply your knowledge directly to your role. Whether it’s developing personal and management skills or the ability to understand people within organisations, this chartered management course means you’ll graduate with an accredited degree, work-based learning experience and the opportunity to have chartered manager status.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>What’s more, your employers can support you by applying for the apprenticeship levy, meaning no cost for you, and minimal (if not zero) costs for your employer. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Throughout your apprenticeship you’ll work with a career coach who will guide you every step of the way with regular meetings at your workplace. They’ll also work directly with your line manager to ensure that what you are learning you can apply. </p>
                            </div>
                                                                                                        </div>","<p><strong>Level 4</strong></p>,<ul>
	<li>Developing Personal and Management Skills</li>
	<li>Understanding the Business Environment</li>
	<li>Principles of Marketing</li>
	<li>Introduction to Finance</li>
	<li>Business Analysis</li>
	<li>People and Organisations</li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Business Processes</li>
	<li>Applied Business Analytics</li>
	<li>Enterprise and Entrepreneurship</li>
	<li>Management Accounting</li>
	<li>Managing Change in Organisations</li>
	<li>Managing Across Cultures</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Strategic Management</li>
	<li>Marketing Planning</li>
	<li>Managing Human Resources</li>
	<li>Application of Project Management Techniques</li>
	<li>Work-based Project</li>
</ul>",
"Psychology,BSc (Hons) & Foundation Year",,,"https://arden.ac.uk/our-courses/undergraduate/foundation-year-entry-degrees/bsc-hons-psychology-with-foundation-year","4-12 ","Year","Online","Undergraduate",,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Candidates for our BSc Psychology with Foundation Year course are required to submit a personal statement (of between 350-550 words) or attend an online interview, demonstrating their ability to study a degree-level programme at Arden University. We will take into account:</p>,<ul>
	<li>Your motivation for undertaking the programme</li>
	<li>Relevant work experience</li>
	<li>Prior qualifications</li>
	<li>References</li>
</ul>,<p>You also need a GCSE Maths Grade C or equivalent.</p>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Fascinated by psychology and need a head start on getting your foot in the door? If you have an inquisitive mind and want to develop a scientific understanding of the human experience, but you’re not sure you qualify for university study, then this psychology degree with foundation year is the perfect pathway to get you where you want to be. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Accredited by the British Psychological Society and part of our <a href=""http://drupaldev.arden.ac.uk/studying-with-us/about-arden/our-team/academic-schools"">School of Psychology</a>, the key knowledge areas within the field of psychology will be covered - from research methods, biological psychology and cognitive psychology, to individual differences, developmental psychology and social psychology. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>We believe that everyone should have the opportunity to go to university, regardless of background, experience or training. That’s why we offer this course with an integrated foundation year, providing you with all the essential skills you’ll need to achieve your degree. </p>
                            </div>
                                                                                                        </div>","<p>You’ll have 4-12 years to complete your psychology foundation course, meaning that you can take up to three years to complete each level. However, many of our students complete the course in 4-8 years.</p>,<p><strong>Year 1</strong></p>,<ul>
	<li>Using Numeracy, IT and Data</li>
	<li>Research Skills and Using Information</li>
	<li>Values, Ethics and Working Collaboratively</li>
	<li>Developing Academic Skills</li>
	<li>Crime and Law in Context</li>
	<li>Psychology of Everyday Life </li>
</ul>,<p><strong>Year 2</strong></p>,<ul>
	<li>Introduction to Studying Psychology</li>
	<li>Introduction to Social and Developmental Psychology</li>
	<li>Introduction to Biological &amp; Cognitive Psychology</li>
	<li>Introduction to Research Methods I</li>
	<li>Introduction to Research Methods II</li>
	<li>Key Studies in Psychology</li>
</ul>,<p><strong>Year 3</strong></p>,<ul>
	<li>Quantitative Research Methods</li>
	<li>Qualitative Research Methods</li>
	<li>Personality and Intelligence</li>
	<li>Social Psychology</li>
	<li>Brain &amp; Behaviour</li>
	<li>Advanced Topics in Cognitive Psychology</li>
</ul>,<p><strong>Year 4</strong></p>,<ul>
	<li>Contemporary Developmental Psychology</li>
	<li>Cross-Cultural Psychology</li>
	<li>Occupational Psychology</li>
	<li>Mental Health and Illness</li>
	<li>Research Project</li>
</ul>","<p>After successfully completing your psychology foundation course, you’ll have acquired a range of lifelong skills that will be highly appealing to several industries. Employers know that a successful psychology graduate can write coherent and logical reports, understand statistical forms of evidence and have a good understanding of human behaviour. With that in mind, a few career options for you could include: </p>,<ul>
	<li>Psychologist</li>
	<li>Counsellor</li>
	<li>Life Coach</li>
	<li>Psychotherapist</li>
	<li>Support Worker</li>
	<li>Detective</li>
	<li>Lecturer</li>
	<li>Researcher </li>
</ul>"
"Psychology (BPS),BSc (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/psychology-degrees/bsc-hons-psychology-bps","3-9 ","Year","Online","Undergraduate",,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Our BSc (Hons) Psychology degree has standard entry requirements. To be able to study this course, we need to see that you have:</p>,<ul>
	<li>Two subjects at GCE A-Level or equivalent, plus passes at grade C or above in three subjects at GCSE level including Maths or equivalent; OR</li>
	<li>Completed a recognised Access Programme or equivalent</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Psychology is a fascinating science that’s fast becoming a viable and popular career option for more people. Why do people behave the way they do? How do our minds work? If you’re inquisitive by nature and would like to develop a scientific understanding of the mind, behaviour and experience of people, alongside the complex way they work together, then this BPS accredited BSc (Hons) Psychology degree is the perfect choice for you.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Arden University’s online psychology degree covers the key knowledge areas within the psychology universe, including research methods, biological psychology, cognitive psychology, individual differences, developmental psychology and social psychology. Alongside the freedom of online learning, this course will help you to shape your future, gaining knowledge of the history of psychological theory and keeping your career options wide open. </p>
                            </div>
                                                                                                        </div>","<p>You have 3-9 years to complete your online psychology degree, meaning that you can take up to three years to complete each level. However, many of our students complete the course in 3-6 years.</p>,<p><strong>Level 4</strong></p>,<ul>
	<li>Introduction to Studying Psychology</li>
	<li>Introduction to Social and Developmental Psychology</li>
	<li>Introduction to Biological and Cognitive Psychology</li>
	<li>Introduction to Research Methods I</li>
	<li>Introduction to Research Methods II</li>
	<li>Key Studies in Psychology</li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Quantitative Research Methods</li>
	<li>Qualitative Research Methods</li>
	<li>Personality and Intelligence</li>
	<li>Social Psychology</li>
	<li>Brain and Behaviour</li>
	<li>Advanced Topics in Cognitive Psychology</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Research Project</li>
	<li>Contemporary Developmental Psychology</li>
	<li>Cross-Cultural Psychology</li>
	<li>Occupational Psychology</li>
	<li>Mental Health and Illness</li>
</ul>","<p>After successfully completing your BSc psychology degree, you’ll have acquired a range of skills that will be appealing to several industries. Employers know that a successful psychology graduate can write coherent and logical reports, understand statistical forms of evidence and have a good understanding of human behaviour. With that in mind, a few career options for you could include: </p>,<ul>
	<li>Counsellor</li>
	<li>Life Coach</li>
	<li>Psychotherapist</li>
	<li>Support Worker</li>
	<li>Detective</li>
	<li>Lecturer</li>
	<li>Researcher</li>
</ul>,<p>Or if you want to continue your journey towards becoming a registered Practitioner Psychologist it will allow you to apply for MSc accredited courses in Psychology specific disciplines.  Keep a look out for future MSc discipline specific courses with us at Arden University.</p>"
"Computing,BSc (Hons) & Foundation Year",,,"https://arden.ac.uk/our-courses/undergraduate/foundation-year-entry-degrees/bsc-hons-computing-foundation-degree","4-12 ","Year","Both","Undergraduate",,,,,"Manchester,Birmingham,London,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Students wanting to enrol on our foundation degree in computing are required to submit a personal statement (of between 350-550 words) or interview demonstrating an ability to study the programme at Arden University, taking into account:</p>,<ul>
	<li>Your motivation for undertaking the programme</li>
	<li>Relevant work experience</li>
	<li>Prior qualifications</li>
</ul>,<p>References</p>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>With emphasis on giving you the computing skills that employers will love, this course teaches you a range of different learning and assessment methods designed to give you 360 development - so you’re ready to kick-start your computing or IT career as a well-rounded professional.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Studying a computing with foundation year course means you’ll gain the practical skills and theoretical knowledge you need to impress future employers. As part of your degree, you’ll complete your foundation year to get started with your university studies - even if you don’t already have qualifications in IT or computing! This crucial first year of study is designed to help you get up to speed on the fundamental skills needed to achieve your degree.  </p>
                            </div>
                                                                                                        </div>","<p>We offer this degree with an integrated foundation year, the perfect on-ramp to your undergraduate studies. With our blended learning model, you’ll only need to commit to two days of face-to-face classroom sessions at one of our study centres. </p>,<p><strong>Foundation Year</strong> </p>,<ul>
	<li>Using Numeracy, IT and Data</li>
	<li>Research Skills &amp; Using Information</li>
	<li>Values, Ethics &amp; Working Collaboratively</li>
	<li>Developing Academic Skills</li>
	<li>Structure of Business</li>
	<li>Technology in Organisations </li>
</ul>,<p><strong> Year 2</strong></p>,<ul>
	<li>Professional Development</li>
	<li>Computer Technology</li>
	<li>Website Design</li>
	<li>Database Design</li>
	<li>Software Engineering</li>
	<li>Information Systems in Organisations</li>
</ul>,<p><strong>Year 3</strong> </p>,<ul>
	<li>Data Communications</li>
	<li>Systems Analysis and Design</li>
	<li>Programming</li>
	<li>Quality Systems in IT</li>
	<li>Database Implementation</li>
	<li>Dynamic Website Development</li>
</ul>,<p><strong>Year 4</strong></p>,<ul>
	<li>Management in IT</li>
	<li>Current Trends in Networking</li>
	<li>Computer Systems Security</li>
	<li>e-Commerce Systems</li>
	<li>Computing Project</li>
</ul>","<p>Open up a variety of IT and programming roles by completing this computing with foundation year course. During your studies, you’ll have the chance to explore a range of different areas, helping you to find the right specialism for your future career. Need some inspiration? Recent graduates of the school have gone on to roles such as:</p>,<ul>
	<li>Software development</li>
	<li>Software engineering</li>
	<li>Programmers/coders</li>
	<li>Teachers</li>
</ul>"
"Computing (Top-Up),BSc (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/degree-top-ups/bsc-computing-top-up","1-3 ","Year","Both","Undergraduate",,,,,"Manchester,Birmingham,London,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>To be eligible to study this BSc Computing top-up degree, we need to see that you have: </p>,<ul>
	<li>A relevant HND or equivalent, provided that the total of your learning experience allows you to achieve the aims of the programme</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Designed to launch your career in computing, this top-up degree will teach you the skills you need to demonstrate your potential to employers. If you’re ready to support real business changes, develop your knowledge on IT security and explore technology trends from all over the world, then this is the right course for you. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Developing your professional level business skills and an understanding of computing, this course will fulfil your career aspirations in the world of computing and business - whatever your goals are. Designed to bring out your best potential, this top-up degree covers all aspects and key disciplines of computing, leaving you to decide where you want to go on your future career path. This fast-track route to your qualification is the equivalent of the final year of undergraduate study, quickly accelerating you to graduate status. Ready to get started?</p>
                            </div>
                                                                                                        </div>","<ul>
	<li>Management in IT</li>
	<li>Current Trends in Networking</li>
	<li>Computer Systems Security</li>
	<li>e-Commerce Systems</li>
	<li>Computing Project</li>
</ul>","<p>Graduates of this computing top-up degree have a much wider range of options available to them than just the subject matter of their course. So the possibilities are endless! Some of the typical job roles you might want to explore include:</p>,<ul>
	<li>Software Engineer</li>
	<li>Application Programmer</li>
	<li>Systems Analysts &amp; Designers</li>
	<li>IT Solutions Specialist</li>
	<li>Web Developer</li>
</ul>"
"Computing,BSc (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/computing-degrees/bsc-hons-computing","3-9 ","Year","Both","Undergraduate",,,,,"Manchester,Birmingham,London,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Our BSc (Hons) Computing degree has standard entry requirements. To be able to study this course, we need to see that you have:</p>,<ul>
	<li>Two subjects at GCE A-Level or equivalent, plus passes at grade C or above in three subjects at GCSE level or equivalent; OR</li>
	<li>Completed a recognised Access Programme or equivalent.</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Designed to place an emphasis on applying what you learn to real-world scenarios, our computing course gives you the skills you need to succeed. What’s more, we continually review and update our computing degree course to keep up the pace with the latest industry trends. So you can be confident you’re learning the skills that matter to employers right now.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>But what sets Arden’s course apart? Our computing degree will prepare you for a role in the modern business environment by staying focused on the key areas that matter to organisations today. You’ll cover topics including data mining and analysis, cloud solutions setup, and use of CRMs such as Salesforce and Microsoft. Ready to get started?</p>
                            </div>
                                                                                                        </div>","<p>You have 3-9 years to complete your BSc (Hons) Computing degree, meaning that you can take up to three years to complete each level; however, many of our students complete the course in 3-6 years.</p>,<p><strong>Level 4</strong></p>,<ul>
	<li>Professional Development</li>
	<li>Computer Technology</li>
	<li>Website Design</li>
	<li>Database Design</li>
	<li>Software Engineering</li>
	<li>Information Systems in Organisations</li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Data Communications</li>
	<li>Systems Analysis &amp; Design</li>
	<li>Programming</li>
	<li>Quality Systems in IT</li>
	<li>Database Implementation</li>
	<li>Dynamic Website Development</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Management in IT</li>
	<li>Current Trends in Networking</li>
	<li>Computer Systems Security</li>
	<li>e-Commerce Systems</li>
	<li>Computing Project</li>
</ul>","<p>Whether you’re interested in web development or systems design, the flexibility of the skills and knowledge you’ll gain during your computing degree course means your options are open to choose the route that works best for you.</p>,<p>Graduates of our BSc Computing degree have gone on to roles such as:</p>,<ul>
	<li>Software development</li>
	<li>Software engineering</li>
	<li>Programmers/coders</li>
	<li>Teachers</li>
</ul>"
"Accounting and Finance,BSc (Hons) & Foundation Year",,,"https://arden.ac.uk/our-courses/undergraduate/foundation-year-entry-degrees/bsc-hons-accounting-and-finance-foundation","4-12 ","Year","Both","Undergraduate",,,,,"Manchester,Birmingham,London,",,,,,,,,,6,6,6,6,6.5,,,,,,,,,,90,,,,,,,,,,,,,"<p>To be eligible for our BSc (Hons) Accounting and Finance with Foundation Year, we need to see that you have:</p>,<ul>
	<li>GCSE Maths Grade C or equivalent</li>
	<li>At least 1 year of full-time, relevant work experience</li>
</ul>,<p>Candidates for our accounting and finance with foundation degree are also required to submit a personal statement (of between 350-550 words) or interview demonstrating an ability to study the programme at Arden University, taking into account:</p>,<ul>
	<li>Their motivation for undertaking the programme</li>
	<li>Relevant work experience</li>
	<li>Prior qualifications</li>
	<li>References</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Are you looking to pursue a dream career in accounting and finance, but need extra preparation? Our BSc (Hons) Accounting and Finance with Foundation Year course is ideal for those wanting to successfully graduate with a full degree and establish a professional career in the finance industry – regardless of previous qualifications.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>This accounting and finance with foundation degree is designed to provide you with the skills needed to achieve your higher education goals, even if it’s been a while since you last studied. And what’s more, our flexible study options provide the best of both worlds when it comes to the university experience. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Starting with an accounting and finance foundation degree is the perfect option for those looking to improve their study habits, develop a wide range of transferable skills and gain an in-depth understanding of a range of disciplines before continuing into undergraduate study. Sound like you? If the answer is yes, we offer a combination of flexibility through our state-of-the-art online portal, with support classes twice a week at one of our study centres in London, Birmingham or Manchester.</p>
                            </div>
                                                                                                        </div>","<p>You’ll have 4-12 years to complete your accounting foundation degree and undergraduate degree, meaning that you can take up to three years to complete each level. However, many of our students complete the course in 4-8 years.</p>,<p><strong>Foundation Year Modules </strong>   </p>,<ul>
	<li>Using Numeracy, IT and Data</li>
	<li>Research Skills and Using Information</li>
	<li>Values, Ethics and Working Collaboratively</li>
	<li>Developing Academic Skills</li>
	<li>Structure of Business</li>
	<li>Technology in Organisations </li>
</ul>,<p><strong>Year 2   </strong> </p>,<ul>
	<li>Financial Accounting</li>
	<li>Cost Accounting</li>
	<li>Developing Personal and Management Skills</li>
	<li>Business Maths</li>
	<li>Understanding the Business Environment (Accounting and Finance)</li>
	<li>Management Information Systems</li>
</ul>,<p><strong>Year 3</strong>    </p>,<ul>
	<li>Business Law</li>
	<li>British Taxation</li>
	<li>Accounting and Audit Framework</li>
	<li>Financial Reporting</li>
	<li>Management Accounting</li>
	<li>Decision Making</li>
</ul>,<p><strong>Year 4 </strong>   </p>,<ul>
	<li>Audit</li>
	<li>Financial Management</li>
	<li>Ethics</li>
	<li>Professional, Statutory and Current Accounting Issues</li>
	<li>Research Methods and Dissertation</li>
</ul>","<p>Every organisation and business around the world requires accounting and finance skills, meaning your career possibilities are endless – but you don’t have to decide right now! In the meantime, some roles you might want to consider are:</p>,<ul>
	<li>Accountant</li>
	<li>Finance Analyst</li>
	<li>Financial Manager</li>
	<li>Actuarial Analyst</li>
	<li>Investment Banking</li>
	<li>Broker</li>
	<li>Tax Advisor</li>
</ul>"
"Accounting and Finance,BSc (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/finance-degrees/bsc-accounting-finance","3-9 ","Year","Both","Undergraduate",,,,,"Berlin,Manchester,Birmingham,London,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Our BSc (Hons) Accounting and Finance degree has standard entry requirements. To be able to study this course, we need to see that you have:</p>,<ul>
	<li>GCSE Grade C in Mathematics , or equivalent.</li>
	<li>Two subjects at GCE A-Level or equivalent, plus passes at grade C or above in three subjects at GCSE level or equivalent; OR</li>
	<li>Completed a recognised Access Programme or equivalent</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>With a curriculum that is career-focused and industry informed, this BSc Accounting and Finance degree is designed to provide you with a thorough understanding of accounting and finance within the wider context of business and management. You’ll be taught by industry-leading academics with extensive experience in the accounting and finance sector, learning how to develop and apply accounting and finance strategies that enhance corporate value in the workplace.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>As an ACCA accredited course, this degree in accounting and finance can be tailored to your career goals – and offers a range of specialist modules from financial accounting to business law and the British tax system. This means that when you graduate, you’ll be equipped with essential financial management accounting skills and the practical knowledge to excel in an industry you love.</p>
                            </div>
                                                                                                        </div>","<p>You have 3-9 years to complete your course, meaning that you can take up to three years to complete each level – however, many of our students complete the course in 3-6 years.</p>,<p><strong>Level 4</strong></p>,<ul>
	<li>Financial Accounting</li>
	<li>Cost Accounting</li>
	<li>Developing Personal and Management Skills</li>
	<li>Business Maths</li>
	<li>Understanding the Business Environment</li>
	<li>Management Information Systems</li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Business Law</li>
	<li>British Tax System</li>
	<li>Accounting and Audit Framework</li>
	<li>Financial Reporting</li>
	<li>Management Accounting</li>
	<li>Decision Making</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Audit</li>
	<li>Financial Management</li>
	<li>Ethics</li>
	<li>Professional, Statutory and Current Accounting Issues</li>
	<li>Research Methods and Dissertation</li>
</ul>","<p>As a graduate of this accounting and finance degree, you’ll be prepared to enter a variety of business, financial and accounting roles. Candidates equipped with a solid understanding of business management, financial knowledge and accounting skills are highly valued and sought after by many employers, meaning there are a variety of job roles you might want to consider, such as:</p>,<ul>
	<li>Accountant</li>
	<li>Finance Analyst</li>
	<li>Financial Manager</li>
	<li>Actuarial Analyst</li>
	<li>Investment Banker</li>
	<li>Broker</li>
	<li>Tax Advisor</li>
</ul>"
